kappa,concentration,mu,monotonicity,seed,face_value,outside_mid_ratio,big_entity_share,delta_passive,delta_active,trading_effect,trading_relief_ratio,phi_passive,phi_active,passive_run_id,passive_status,active_run_id,active_status,dealer_total_pnl,dealer_total_return,total_trades,n_defaults_passive,n_defaults_active,cascade_fraction_passive,cascade_fraction_active,cascade_effect,alpha_vbt,alpha_trader,dealer_passive_pnl,dealer_passive_return,dealer_trading_incremental_pnl,risk_aversion,planning_horizon,aggressiveness,default_observability,vbt_mid_sensitivity,vbt_spread_sensitivity,delta_lender,lending_effect,phi_lender,lender_run_id,lender_status,n_defaults_lender,cascade_fraction_lender,lender_total_pnl,lender_total_return,total_loans,delta_dealer_lender,combined_effect,phi_dealer_lender,dealer_lender_run_id,dealer_lender_status,n_defaults_dealer_lender,cascade_fraction_dealer_lender,delta_bank_passive,bank_passive_effect,phi_bank_passive,bank_passive_run_id,bank_passive_status,n_defaults_bank_passive,cascade_fraction_bank_passive,delta_bank_dealer,bank_dealer_effect,phi_bank_dealer,bank_dealer_run_id,bank_dealer_status,n_defaults_bank_dealer,cascade_fraction_bank_dealer,delta_bank_dealer_nbfi,bank_dealer_nbfi_effect,phi_bank_dealer_nbfi,bank_dealer_nbfi_run_id,bank_dealer_nbfi_status,n_defaults_bank_dealer_nbfi,cascade_fraction_bank_dealer_nbfi
0.25,0.5,0,0,42,20,0.90,0.25,0.8088856518572469045884923525,0.8344501092498179169701383831,-0.0255644573925710123816460306,-0.03160453808752025931928687197,0.1911143481427530954115076474,0.1655498907501820830298616169,balanced_passive_b6aec9dfd180,completed,balanced_active_5663fe80d15e,completed,314.2,0.18206049368408853,16,29,29,0.4137931034482758620689655172,0.4137931034482758620689655172,0E-28,0,0,-668.8,-0.3875304206744698,983.0,0,10,1.0,1.0,1.0,0.0,0.7277976756085081499890358892,0.0810879762487387545994564633,0.2722023243914918500109641108,balanced_nbfi_dba6d4eccabc,completed,27,0.3703703703703703703703703704,,,,0.7911143481427530954115076475,0.0177713037144938091769847050,0.2088856518572469045884923525,balanced_dealer_lender_0cce00860158,completed,24,0.2916666666666666666666666667,,,,,,0,,,,,,,0,,,,,,,0,
0.25,0.5,0.5,0,43,20,0.90,0.25,0.8464624109551144615810222007,0.7908986175115207373271889401,0.0555637934435937242538332606,0.06564236370626045093440437250,0.1535375890448855384189777993,0.2091013824884792626728110599,balanced_passive_1565923ff1e5,completed,balanced_active_a7b8e4913e4c,completed,1468.4444444444443,0.8424810352521196,32,22,20,0.2272727272727272727272727273,0.25,-0.0227272727272727272727272727,0,0,-659.0,-0.3780837636259323,2127.4444444444443,0,10,1.0,1.0,1.0,0.0,0.7756175188542171175534491109,0.0708448921008973440275730898,0.2243824811457828824465508891,balanced_nbfi_36008b1100a7,completed,20,0.2,,,,0.8124826437100805331852263260,0.0339797672450339283957958747,0.1875173562899194668147736740,balanced_dealer_lender_1dd2f7653930,completed,21,0.2380952380952380952380952381,,,,,,0,,,,,,,0,,,,,,,0,
0.25,0.5,1,0,44,20,0.90,0.25,0.9171833191933694446257260328,0.8386137896034220256651924889,0.0785695295899474189605335439,0.08566393211233558422742674634,0.08281668080663055537427396724,0.1613862103965779743348075111,balanced_passive_35439828dc56,completed,balanced_active_35f5389be15e,completed,909.4,0.5061783368585105,23,20,17,0.05,0,0.05,0,0,-739.6,-0.4116664811310253,1649.0,0,10,1.0,1.0,1.0,0.0,0.8883946623534169025475131419,0.0287886568399525420782128909,0.1116053376465830974524868581,balanced_nbfi_f75b0e8c496f,completed,17,0,,,,0.8883946623534169025475131419,0.0287886568399525420782128909,0.1116053376465830974524868581,balanced_dealer_lender_385422f12d87,completed,17,0,,,,,,0,,,,,,,0,,,,,,,0,
0.25,1,0,0,45,20,0.90,0.25,0.6709573612228479485116653258,0.6634242668031887661815256345,0.0075330944196591823301396913,0.01122738173097885328101155430,0.3290426387771520514883346742,0.3365757331968112338184743655,balanced_passive_ee7bf2a64028,completed,balanced_active_952282454ce3,completed,139.4,0.07416471589699936,10,33,33,0.4545454545454545454545454545,0.4545454545454545454545454545,0E-28,0,0,-813.6,-0.432858054905299,953.0,0,10,1.0,1.0,1.0,0.0,0.5766839757185694434286550135,0.0942733855042785050830103123,0.4233160242814305565713449865,balanced_nbfi_e9a4233362e7,completed,33,0.4848484848484848484848484848,,,,0.6552329408322972281138009215,0.0157244203905507203978644043,0.3447670591677027718861990785,balanced_dealer_lender_5c3737b73ec6,completed,32,0.4375,,,,,,0,,,,,,,0,,,,,,,0,
0.25,1,0.5,0,46,20,0.90,0.25,0.8295807936310486378902848613,0.7857424182749113824340291453,0.0438383753561372554562557160,0.05284400951986615633720793236,0.1704192063689513621097151387,0.2142575817250886175659708547,balanced_passive_a2f1060158f8,completed,balanced_active_6160a1b25b99,completed,1609.5157894736842,0.8480955788142504,41,27,25,0.2962962962962962962962962963,0.28,0.0162962962962962962962962963,0,0,-690.8,-0.36400042154073137,2300.315789473684,0,10,1.0,1.0,1.0,0.0,0.7474131559497413155949741316,0.0821676376813073222953107297,0.2525868440502586844050258684,balanced_nbfi_b5baa31d68fc,completed,23,0.1304347826086956521739130435,,,,0.7711833231146535867565910484,0.0583974705163950511336938129,0.2288166768853464132434089516,balanced_dealer_lender_5c41b853d847,completed,27,0.2222222222222222222222222222,,,,,,0,,,,,,,0,,,,,,,0,
0.25,1,1,0,47,20,0.90,0.25,0.8661596536027534140113245254,0.6396419769101050719937735115,0.2265176766926483420175510139,0.2615195429046572603412269412,0.1338403463972465859886754746,0.3603580230898949280062264885,balanced_passive_cae2194d2575,completed,balanced_active_677b3089d200,completed,1828.6,0.9823788546255506,34,26,22,0.07692307692307692307692307692,0.09090909090909090909090909091,-0.01398601398601398601398601399,0,0,-568.4,-0.30536155581820135,2397.0,0,10,1.0,1.0,1.0,0.0,0.7811103269818866149141378499,0.0850493266208667990971866755,0.2188896730181133850858621501,balanced_nbfi_11af8f4d0823,completed,24,0.08333333333333333333333333333,,,,0.8181030499075785582255083179,0.0480566036951748557858162075,0.1818969500924214417744916821,balanced_dealer_lender_e2584e677c76,completed,23,0.04347826086956521739130434783,,,,,,0,,,,,,,0,,,,,,,0,
0.25,2,0,0,48,20,0.90,0.25,0.6094414414414414414414414414,0.6296936936936936936936936937,-0.0202522522522522522522522523,-0.03323084200567644276253547785,0.3905585585585585585585585586,0.3703063063063063063063063063,balanced_passive_71b056660566,completed,balanced_active_8e2d82631b16,completed,492.4,0.2618313304264596,13,34,34,0.4705882352941176470588235294,0.4705882352941176470588235294,0E-28,0,0,-785.6,-0.41773901946187386,1278.0,0,10,1.0,1.0,1.0,0.0,0.6074234234234234234234234234,0.0020180180180180180180180180,0.3925765765765765765765765766,balanced_nbfi_0e731d24365d,completed,35,0.5142857142857142857142857143,,,,0.6094414414414414414414414414,0E-28,0.3905585585585585585585585586,balanced_dealer_lender_12eae6cb9035,completed,34,0.4705882352941176470588235294,,,,,,0,,,,,,,0,,,,,,,0,
0.25,2,0.5,0,49,20,0.90,0.25,0.8322546135330302219844878310,0.7535442962253992941317221990,0.0787103173076309278527656320,0.09457480442613022663458149561,0.1677453864669697780155121690,0.2464557037746007058682778010,balanced_passive_651c9b005d46,completed,balanced_active_cde0c2d61e55,completed,2932.235294117647,1.5343983747345091,41,32,31,0.28125,0.3225806451612903225806451613,-0.0413306451612903225806451613,0,0,-837.0,-0.4379905808477237,3769.235294117647,0,10,1.0,1.0,1.0,0.0,0.8488237562668723486309294254,-0.0165691427338421266464415944,0.1511762437331276513690705746,balanced_nbfi_90374018bd9e,completed,29,0.2068965517241379310344827586,,,,0.8488237562668723486309294254,-0.0165691427338421266464415944,0.1511762437331276513690705746,balanced_dealer_lender_ec531750f17d,completed,29,0.2068965517241379310344827586,,,,,,0,,,,,,,0,,,,,,,0,
0.25,2,1,0,50,20,0.90,0.25,0.8314473542407587024463843087,0.6934880476824551391795066895,0.1379593065583035632668776192,0.1659266889895656206809277289,0.1685526457592412975536156913,0.3065119523175448608204933105,balanced_passive_a86bc461d4eb,completed,balanced_active_834de4dc6cc1,completed,2761.0,1.4432828018818609,35,30,26,0.2,0.1153846153846153846153846154,0.0846153846153846153846153846,0,0,-827.0,-0.43230527966544696,3588.0,0,10,1.0,1.0,1.0,0.0,0.6716950242647488744664678711,0.1597523299760098279799164376,0.3283049757352511255335321289,balanced_nbfi_ab66b88ba23b,completed,20,0.25,,,,0.7713767692127734237922564043,0.0600705850279852786541279044,0.2286232307872265762077435957,balanced_dealer_lender_9f7c75c4a118,completed,22,0.1363636363636363636363636364,,,,,,0,,,,,,,0,,,,,,,0,
0.5,0.5,0,0,51,20,0.90,0.25,0.7573808827828120432622040339,0.7315843320666471791873721134,0.0257965507161648640748319205,0.03406020841373986877653415671,0.2426191172171879567377959661,0.2684156679333528208126278866,balanced_passive_afeb408c26fa,completed,balanced_active_bdfd1b01e372,completed,103.0,0.05706371191135734,9,25,25,0.36,0.36,0.00,0,0,-655.0,-0.3628808864265928,758.0,0,10,1.0,1.0,1.0,0.0,0.6144402221572639579070447238,0.1429406606255480853551593101,0.3855597778427360420929552762,balanced_nbfi_3be806998e3a,completed,24,0.4166666666666666666666666667,,,,0.6608447822274188833674364221,0.0965361005553931598947676118,0.3391552177725811166325635779,balanced_dealer_lender_a56b44df4eab,completed,24,0.4166666666666666666666666667,,,,,,0,,,,,,,0,,,,,,,0,
